Matrix,Description,Qubits,Classical_Min_Eigenvalue,VQE_Ideal_Eigenvalue,VQE_Ideal_Abs_Error,VQE_Ideal_Norm_Error,VQE_Ideal_Iterations,VQE_Ideal_Time_s,VQE_Ideal_Pass,VQE_IBM-HERON-R1_Eigenvalue,VQE_IBM-HERON-R1_Abs_Error,VQE_IBM-HERON-R1_Norm_Error,VQE_IBM-HERON-R2_Eigenvalue,VQE_IBM-HERON-R2_Abs_Error,VQE_IBM-HERON-R2_Norm_Error,VQE_IBM-HERON-R3_Eigenvalue,VQE_IBM-HERON-R3_Abs_Error,VQE_IBM-HERON-R3_Norm_Error,VQE_RIGETTI-ANKAA3_Eigenvalue,VQE_RIGETTI-ANKAA3_Abs_Error,VQE_RIGETTI-ANKAA3_Norm_Error,Deflation_Quantum,Deflation_Classical
M1_PauliZ,"Pauli Z (2x2, diagonal, trivial)",1,-1.0,-0.9999999999998428,1.5720758028692217e-13,7.860379014346108e-14,31,0.07035064697265625,True,-0.9980009999781717,0.00199900002182829,0.000999500010914145,-0.9980009999781717,0.00199900002182829,0.000999500010914145,-0.999000249851209,0.0009997501487909455,0.0004998750743954727,-0.99600399998191,0.0039960000180899735,0.0019980000090449868,"['-1.0000', '1.0000']","['-1.0000', '1.0000']"
M2_PauliX,"Pauli X (2x2, off-diagonal)",1,-1.0,-0.9999999997335565,2.6644353390281594e-10,1.3322176695140797e-10,38,0.07517218589782715,True,-0.9980009996481246,0.0019990003518753907,0.0009995001759376954,-0.9980009996481246,0.0019990003518753907,0.0009995001759376954,-0.9990002496244962,0.0009997503755038162,0.0004998751877519081,-0.9960039997074291,0.003996000292570856,0.001998000146285428,"['-1.0000', '1.0000']","['-1.0000', '1.0000']"
M3_General2x2,"General Hermitian (2x2, complex off-diagonal)",1,1.0,1.0000000014832375,1.483237532795556e-09,4.94412510931852e-10,46,0.08573579788208008,True,1.0029985004690347,0.002998500469034715,0.000999500156344905,1.0029985004690347,0.002998500469034715,0.000999500156344905,1.001499626059967,0.0014996260599668965,0.0004998753533222988,1.0059940007440384,0.005994000744038441,0.0019980002480128136,"['1.0000', '4.0000']","['1.0000', '4.0000']"
M4_Symmetric3x3,"Symmetric real (3x3, embedded in 4x4)",2,1.0,1.0000018428676247,1.842867624723965e-06,6.142892082413217e-07,200,0.5910229682922363,True,1.0416108753189972,0.04161087531899721,0.01387029177299907,1.042241255398309,0.04224125539830892,0.014080418466102973,1.0202981926053312,0.020298192605331167,0.006766064201777056,1.0827975405009533,0.08279754050095334,0.027599180166984445,"['1.0000', '2.0000', '4.0000']","['1.0000', '2.0000', '4.0000']"
M5_HeisenbergXXX,"Heisenberg XXX (4x4, entangled ground state)",2,-3.0,-2.9999999958518706,4.148129395531441e-09,1.0370323488828603e-09,190,0.48954224586486816,True,-2.9567822425679493,0.043217757432050696,0.010804439358012674,-2.95618943373936,0.04381056626063984,0.01095264156515996,-2.9788781006478313,0.021121899352168683,0.005280474838042171,-2.9142720107934332,0.08572798920656677,0.021431997301641692,"['-3.0000', '1.0000', '1.0000', '1.0000']","['-3.0000', '1.0000', '1.0000', '1.0000']"
