job_id,status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,qbraid_job_id,qbraid_device_id,job_status,vendor,provider,measurement_counts_sdk,job_metadata,job_tags,job_created_at,job_ended_at,cost,job_execution_duration,shots,queue_position,queue_depth,circuit_num_qubits,circuit_depth_sdk,data_source
rigetti_ankaa_3-cmarquezb-qjob-jnjfkzn57wjp76bkofo2,completed,517,7,1024,"{""s"": 180, ""sdg"": 180, ""x"": 176, ""h"": 166, ""y"": 164, ""z"": 148, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,504,qbraid,dynamic_payload_gates,"{""00"": 5, ""01"": 4, ""11"": 1}",0.5,rigetti_ankaa_3-cmarquezb-qjob-jnjfkzn57wjp76bkofo2,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 5, '01': 4, '11': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-jnjfkzn57wjp76bkofo2', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 16, 55, 4), 'endedAt': datetime.datetime(2025, 9, 2, 16, 55, 17), 'executionDuration': 13000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 16:55:04,2025-09-02 16:55:17,30.9,13000.0,10.0,,,5.0,511.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-gy0pqzvj7vzq19q8djym,completed,517,7,1026,"{""x"": 184, ""h"": 178, ""z"": 168, ""s"": 166, ""sdg"": 166, ""y"": 154, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,505,qbraid,dynamic_payload_gates,"{""00"": 5, ""10"": 2, ""11"": 3}",0.5,rigetti_ankaa_3-cmarquezb-qjob-gy0pqzvj7vzq19q8djym,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 5, '10': 2, '11': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-gy0pqzvj7vzq19q8djym', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 16, 55, 38), 'endedAt': datetime.datetime(2025, 9, 2, 16, 59, 8), 'executionDuration': 210000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 16:55:38,2025-09-02 16:59:08,30.9,210000.0,10.0,,,5.0,511.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-dq5c7ervefp2lp7sc8li,completed,347,9,1021,"{""h"": 184, ""x"": 180, ""y"": 168, ""s"": 164, ""sdg"": 164, ""z"": 148, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,500,qbraid,dynamic_payload_gates,"{""000"": 5, ""010"": 1, ""011"": 2, ""101"": 1, ""111"": 1}",0.5,rigetti_ankaa_3-cmarquezb-qjob-dq5c7ervefp2lp7sc8li,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 5, '010': 1, '011': 2, '101': 1, '111': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-dq5c7ervefp2lp7sc8li', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 0, 50), 'endedAt': datetime.datetime(2025, 9, 2, 17, 0, 58), 'executionDuration': 8000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:00:50,2025-09-02 17:00:58,30.9,8000.0,10.0,,,6.0,341.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-4j7389ma74u5reo8rid7,completed,349,9,1023,"{""sdg"": 181, ""s"": 181, ""x"": 176, ""z"": 174, ""y"": 170, ""h"": 128, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,501,qbraid,dynamic_payload_gates,"{""000"": 2, ""001"": 1, ""010"": 3, ""011"": 1, ""100"": 1, ""110"": 1, ""111"": 1}",0.2,rigetti_ankaa_3-cmarquezb-qjob-4j7389ma74u5reo8rid7,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 2, '001': 1, '010': 3, '011': 1, '100': 1, '110': 1, '111': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-4j7389ma74u5reo8rid7', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 1, 33), 'endedAt': datetime.datetime(2025, 9, 2, 17, 1, 35), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:01:33,2025-09-02 17:01:35,30.9,2000.0,10.0,,,6.0,343.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-uax2tqr2o610gbywlgn8,completed,349,9,1025,"{""h"": 186, ""x"": 178, ""s"": 166, ""sdg"": 166, ""z"": 166, ""y"": 150, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,502,qbraid,dynamic_payload_gates,"{""000"": 4, ""010"": 1, ""011"": 1, ""100"": 3, ""111"": 1}",0.4,rigetti_ankaa_3-cmarquezb-qjob-uax2tqr2o610gbywlgn8,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 4, '010': 1, '011': 1, '100': 3, '111': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-uax2tqr2o610gbywlgn8', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 2, 18), 'endedAt': datetime.datetime(2025, 9, 2, 17, 2, 25), 'executionDuration': 7000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:02:18,2025-09-02 17:02:25,30.9,7000.0,10.0,,,6.0,343.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-mf5kud16nvmm6yqi1qhe,completed,349,9,1027,"{""h"": 200, ""z"": 172, ""y"": 164, ""sdg"": 163, ""s"": 163, ""x"": 152, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,503,qbraid,dynamic_payload_gates,"{""000"": 5, ""010"": 1, ""101"": 1, ""110"": 1, ""111"": 2}",0.5,rigetti_ankaa_3-cmarquezb-qjob-mf5kud16nvmm6yqi1qhe,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 5, '010': 1, '101': 1, '110': 1, '111': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-mf5kud16nvmm6yqi1qhe', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 3, 10), 'endedAt': datetime.datetime(2025, 9, 2, 17, 3, 18), 'executionDuration': 8000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:03:10,2025-09-02 17:03:18,30.9,8000.0,10.0,,,6.0,343.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-i3bqargeougpyw1vmrjo,completed,351,9,1029,"{""z"": 184, ""y"": 174, ""s"": 170, ""sdg"": 170, ""h"": 160, ""x"": 158, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,504,qbraid,dynamic_payload_gates,"{""000"": 4, ""001"": 1, ""100"": 1, ""110"": 1, ""111"": 3}",0.4,rigetti_ankaa_3-cmarquezb-qjob-i3bqargeougpyw1vmrjo,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 4, '001': 1, '100': 1, '110': 1, '111': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-i3bqargeougpyw1vmrjo', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 3, 43), 'endedAt': datetime.datetime(2025, 9, 2, 17, 3, 54), 'executionDuration': 11000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:03:43,2025-09-02 17:03:54,30.9,11000.0,10.0,,,6.0,345.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-dq9cptz4vjbz3f969lsb,completed,351,9,1031,"{""h"": 206, ""y"": 182, ""z"": 172, ""sdg"": 154, ""s"": 154, ""x"": 150, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,505,qbraid,dynamic_payload_gates,"{""000"": 1, ""001"": 1, ""100"": 2, ""101"": 1, ""110"": 2, ""111"": 3}",0.1,rigetti_ankaa_3-cmarquezb-qjob-dq9cptz4vjbz3f969lsb,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'000': 1, '001': 1, '100': 2, '101': 1, '110': 2, '111': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-dq9cptz4vjbz3f969lsb', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 4, 37), 'endedAt': datetime.datetime(2025, 9, 2, 17, 4, 48), 'executionDuration': 11000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:04:37,2025-09-02 17:04:48,30.9,11000.0,10.0,,,6.0,345.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-1lyjgtt0a6xzjv5rxu1s,completed,267,11,1026,"{""y"": 188, ""h"": 182, ""s"": 167, ""sdg"": 167, ""z"": 154, ""x"": 152, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,500,qbraid,dynamic_payload_gates,"{""0000"": 2, ""0001"": 2, ""0010"": 1, ""0110"": 1, ""0111"": 1, ""1011"": 1, ""1100"": 1, ""1111"": 1}",0.2,rigetti_ankaa_3-cmarquezb-qjob-1lyjgtt0a6xzjv5rxu1s,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0000': 2, '0001': 2, '0010': 1, '0110': 1, '0111': 1, '1011': 1, '1100': 1, '1111': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-1lyjgtt0a6xzjv5rxu1s', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 5, 25), 'endedAt': datetime.datetime(2025, 9, 2, 17, 5, 28), 'executionDuration': 3000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:05:25,2025-09-02 17:05:28,30.9,3000.0,10.0,,,7.0,261.0,quantum
rigetti_ankaa_3-cmarquezb-qjob-xt1ejr8q2bf0znamoeld,completed,267,11,1028,"{""h"": 204, ""z"": 184, ""s"": 168, ""sdg"": 168, ""y"": 164, ""x"": 124, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,501,qbraid,dynamic_payload_gates,"{""0000"": 1, ""0001"": 2, ""0100"": 2, ""0110"": 1, ""0111"": 1, ""1100"": 2, ""1101"": 1}",0.1,rigetti_ankaa_3-cmarquezb-qjob-xt1ejr8q2bf0znamoeld,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0000': 1, '0001': 2, '0100': 2, '0110': 1, '0111': 1, '1100': 2, '1101': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-xt1ejr8q2bf0znamoeld', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 5, 58), 'endedAt': datetime.datetime(2025, 9, 2, 17, 6, 3), 'executionDuration': 5000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:05:58,2025-09-02 17:06:03,30.9,5000.0,10.0,,,7.0,261.0,quantum
