status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,10005,5,10011,"{""y"": 2036, ""x"": 2026, ""u"": 2014, ""t"": 1013, ""tdg"": 1013, ""s"": 949, ""sdg"": 949, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5000,ibm,dynamic_payload_gates,"{""1"": 1892, ""0"": 2204}",0.5380859375,cz4sg8hh0kc00088xsng,ibm_sherbrooke,4.0,4.0,completed,0.5380859375,2025-03-06T12:42:11.046Z,2025-03-06T12:42:19.829Z,2025-03-06T12:42:13.495Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:42:15', stop='2025-03-06 12:42:18', size=4096>)])",3.80113
completed,10007,5,10013,"{""x"": 2116, ""y"": 1978, ""u"": 1888, ""s"": 1012, ""sdg"": 1012, ""t"": 998, ""tdg"": 998, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5001,ibm,dynamic_payload_gates,"{""0"": 2018, ""1"": 2078}",0.49267578125,cz4sggt1xvhg008e8hz0,ibm_sherbrooke,4.0,4.0,completed,0.49267578125,2025-03-06T12:42:43.514Z,2025-03-06T12:42:56.110Z,2025-03-06T12:42:45.996Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:42:51', stop='2025-03-06 12:42:55', size=4096>)])",3.752359
completed,10009,5,10015,"{""y"": 2036, ""x"": 1966, ""u"": 1886, ""s"": 1081, ""sdg"": 1081, ""t"": 977, ""tdg"": 977, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5002,ibm,dynamic_payload_gates,"{""1"": 2116, ""0"": 1980}",0.4833984375,cz4sgtb39f40008se0ag,ibm_sherbrooke,4.0,4.0,completed,0.4833984375,2025-03-06T12:43:21.891Z,2025-03-06T12:43:37.509Z,2025-03-06T12:43:24.245Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:43:33', stop='2025-03-06 12:43:36', size=4096>)])",3.483301
completed,10011,5,10017,"{""u"": 2060, ""y"": 2048, ""x"": 1918, ""s"": 1050, ""sdg"": 1050, ""t"": 940, ""tdg"": 940, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5003,ibm,dynamic_payload_gates,"{""0"": 1987, ""1"": 2109}",0.485107421875,cz4sh3mh0kc00088xsv0,ibm_sherbrooke,4.0,4.0,completed,0.485107421875,2025-03-06T12:43:59.337Z,2025-03-06T12:44:19.923Z,2025-03-06T12:44:01.902Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:44:15', stop='2025-03-06 12:44:19', size=4096>)])",3.6596
completed,10013,5,10019,"{""y"": 2036, ""u"": 2006, ""x"": 2006, ""s"": 1013, ""sdg"": 1013, ""t"": 967, ""tdg"": 967, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5004,ibm,dynamic_payload_gates,"{""0"": 1964, ""1"": 2132}",0.4794921875,cz4shexh0kc00088xsy0,ibm_sherbrooke,4.0,4.0,completed,0.4794921875,2025-03-06T12:44:43.551Z,2025-03-06T12:45:26.240Z,2025-03-06T12:44:46.104Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:45:21', stop='2025-03-06 12:45:25', size=4096>)])",3.561398
completed,10015,5,10021,"{""y"": 2050, ""u"": 2014, ""x"": 1958, ""t"": 999, ""tdg"": 999, ""s"": 995, ""sdg"": 995, ""cx"": 5, ""h"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5005,ibm,dynamic_payload_gates,"{""0"": 2049, ""1"": 2047}",0.500244140625,cz4shzfkvm9g008g83zg,ibm_sherbrooke,4.0,4.0,completed,0.500244140625,2025-03-06T12:45:49.783Z,2025-03-06T12:46:07.605Z,2025-03-06T12:45:52.334Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:46:03', stop='2025-03-06 12:46:06', size=4096>)])",3.744646
completed,5007,7,10016,"{""u"": 2080, ""y"": 2056, ""x"": 1954, ""t"": 979, ""tdg"": 979, ""s"": 976, ""sdg"": 976, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5000,ibm,dynamic_payload_gates,"{""00"": 1078, ""01"": 1132, ""11"": 953, ""10"": 933}",0.26318359375,cz4sja9p6030008cfwf0,ibm_brisbane,3.0,3.0,completed,0.26318359375,2025-03-06T12:46:33.400Z,2025-03-06T12:46:41.315Z,2025-03-06T12:46:36.026Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:46:37', stop='2025-03-06 12:46:40', size=4096>)])",2.876163
completed,5007,7,10018,"{""x"": 2048, ""u"": 2046, ""y"": 1878, ""t"": 1034, ""tdg"": 1034, ""s"": 981, ""sdg"": 981, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5001,ibm,dynamic_payload_gates,"{""00"": 1115, ""01"": 1058, ""10"": 930, ""11"": 993}",0.272216796875,cz4sjja39f40008se0r0,ibm_sherbrooke,4.0,4.0,completed,0.272216796875,2025-03-06T12:47:06.022Z,2025-03-06T12:48:04.131Z,2025-03-06T12:47:08.539Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:47:59', stop='2025-03-06 12:48:03', size=4096>)])",3.919629
completed,5009,7,10020,"{""x"": 2094, ""u"": 1970, ""y"": 1962, ""t"": 996, ""tdg"": 996, ""s"": 993, ""sdg"": 993, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5002,ibm,dynamic_payload_gates,"{""01"": 782, ""00"": 1635, ""10"": 983, ""11"": 696}",0.399169921875,cz4sk6wkvm9g008g849g,ibm_brisbane,4.0,4.0,completed,0.399169921875,2025-03-06T12:48:27.340Z,2025-03-06T12:49:50.748Z,2025-03-06T12:48:29.962Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:49:46', stop='2025-03-06 12:49:49', size=4096>)])",3.793469
completed,5009,7,10022,"{""y"": 2080, ""u"": 1900, ""x"": 1896, ""s"": 1038, ""sdg"": 1038, ""t"": 1027, ""tdg"": 1027, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5003,ibm,dynamic_payload_gates,"{""01"": 1138, ""10"": 899, ""00"": 1104, ""11"": 955}",0.26953125,cz4sm1rh0kc00088xtg0,ibm_sherbrooke,10.0,10.0,completed,0.26953125,2025-03-06T12:50:16.073Z,2025-03-06T12:50:35.811Z,2025-03-06T12:50:18.521Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:50:25', stop='2025-03-06 12:50:35', size=4096>)])",9.232524
completed,5011,7,10024,"{""u"": 2046, ""y"": 1994, ""x"": 1822, ""s"": 1060, ""sdg"": 1060, ""t"": 1013, ""tdg"": 1013, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5004,ibm,dynamic_payload_gates,"{""00"": 1018, ""01"": 1089, ""11"": 1020, ""10"": 969}",0.24853515625,cz4smcs39f40008se100,ibm_sherbrooke,4.0,4.0,completed,0.24853515625,2025-03-06T12:50:59.650Z,2025-03-06T12:51:08.238Z,2025-03-06T12:51:02.263Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:51:03', stop='2025-03-06 12:51:07', size=4096>)])",3.558874
