status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,5011,7,10026,"{""u"": 2010, ""x"": 1990, ""y"": 1956, ""s"": 1030, ""sdg"": 1030, ""t"": 997, ""tdg"": 997, ""cx"": 7, ""h"": 6, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5005,ibm,dynamic_payload_gates,"{""01"": 964, ""10"": 1091, ""11"": 942, ""00"": 1099}",0.268310546875,cz4smna10wx0008bgr8g,ibm_sherbrooke,3.0,3.0,completed,0.268310546875,2025-03-06T12:51:33.654Z,2025-03-06T12:51:41.331Z,2025-03-06T12:51:36.092Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:51:37', stop='2025-03-06 12:51:40', size=4096>)])",2.670586
completed,3341,9,10021,"{""u"": 2044, ""y"": 2032, ""x"": 1972, ""t"": 1016, ""tdg"": 1016, ""s"": 960, ""sdg"": 960, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5000,ibm,dynamic_payload_gates,"{""011"": 553, ""001"": 437, ""100"": 498, ""111"": 637, ""110"": 440, ""101"": 520, ""000"": 550, ""010"": 461}",0.13427734375,cz4smxvh0kc00088xtq0,ibm_brisbane,4.0,4.0,completed,0.13427734375,2025-03-06T12:52:07.938Z,2025-03-06T12:53:40.970Z,2025-03-06T12:52:10.740Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:53:36', stop='2025-03-06 12:53:40', size=4096>)])",3.304261
completed,3343,9,10023,"{""y"": 1996, ""x"": 1964, ""u"": 1948, ""s"": 1029, ""sdg"": 1029, ""t"": 1018, ""tdg"": 1018, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5001,ibm,dynamic_payload_gates,"{""011"": 532, ""001"": 451, ""000"": 614, ""010"": 455, ""111"": 568, ""110"": 437, ""101"": 434, ""100"": 605}",0.14990234375,cz4snx7p6030008cfx10,ibm_brisbane,4.0,4.0,completed,0.14990234375,2025-03-06T12:54:13.002Z,2025-03-06T12:58:27.295Z,2025-03-06T12:54:16.206Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:58:23', stop='2025-03-06 12:58:26', size=4096>)])",3.246459
completed,3343,9,10025,"{""u"": 2048, ""y"": 2044, ""x"": 1894, ""t"": 1009, ""tdg"": 1009, ""s"": 1000, ""sdg"": 1000, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5002,ibm,dynamic_payload_gates,"{""001"": 491, ""110"": 490, ""100"": 487, ""000"": 505, ""111"": 563, ""010"": 521, ""011"": 560, ""101"": 479}",0.123291015625,cz4sr2r39f40008se1kg,ibm_sherbrooke,4.0,4.0,completed,0.123291015625,2025-03-06T12:58:51.640Z,2025-03-06T12:58:59.676Z,2025-03-06T12:58:54.207Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:58:55', stop='2025-03-06 12:58:58', size=4096>)])",3.030327
completed,3343,9,10027,"{""u"": 2012, ""x"": 1986, ""y"": 1942, ""t"": 1045, ""tdg"": 1045, ""s"": 988, ""sdg"": 988, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5003,ibm,dynamic_payload_gates,"{""100"": 512, ""110"": 447, ""010"": 478, ""111"": 523, ""011"": 634, ""001"": 502, ""101"": 486, ""000"": 514}",0.12548828125,cz4srb910wx0008bgrx0,ibm_brisbane,4.0,4.0,completed,0.12548828125,2025-03-06T12:59:25.641Z,2025-03-06T12:59:57.208Z,2025-03-06T12:59:28.263Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 12:59:53', stop='2025-03-06 12:59:56', size=4096>)])",3.2610580000000002
completed,3345,9,10029,"{""y"": 2050, ""u"": 2010, ""x"": 1984, ""t"": 1014, ""tdg"": 1014, ""s"": 968, ""sdg"": 968, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5004,ibm,dynamic_payload_gates,"{""100"": 548, ""110"": 514, ""010"": 489, ""011"": 467, ""111"": 485, ""000"": 573, ""101"": 475, ""001"": 545}",0.139892578125,cz4srrv1xvhg008e8k7g,ibm_sherbrooke,4.0,4.0,completed,0.139892578125,2025-03-06T13:00:19.771Z,2025-03-06T13:00:36.781Z,2025-03-06T13:00:31.315Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:00:32', stop='2025-03-06 13:00:35', size=4096>)])",3.021993
completed,3345,9,10031,"{""u"": 2008, ""x"": 1986, ""y"": 1956, ""s"": 1027, ""sdg"": 1027, ""t"": 1003, ""tdg"": 1003, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5005,ibm,dynamic_payload_gates,"{""110"": 449, ""000"": 573, ""100"": 482, ""001"": 490, ""101"": 486, ""011"": 576, ""010"": 457, ""111"": 583}",0.139892578125,cz4ss2c10wx0008bgs2g,ibm_brisbane,4.0,4.0,completed,0.139892578125,2025-03-06T13:00:57.983Z,2025-03-06T13:06:14.962Z,2025-03-06T13:01:00.681Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:06:10', stop='2025-03-06 13:06:14', size=4096>)])",3.272153
completed,2511,11,10026,"{""u"": 2020, ""x"": 1958, ""y"": 1940, ""t"": 1035, ""tdg"": 1035, ""s"": 1006, ""sdg"": 1006, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5000,ibm,dynamic_payload_gates,"{""0000"": 244, ""1001"": 275, ""0100"": 298, ""1010"": 275, ""0010"": 237, ""1011"": 265, ""0110"": 261, ""0001"": 235, ""1111"": 250, ""0111"": 250, ""1101"": 278, ""1000"": 272, ""0101"": 244, ""0011"": 221, ""1110"": 267, ""1100"": 224}",0.0595703125,cz4svr7kvm9g008g85v0,ibm_kyiv,3.0,3.0,completed,0.0595703125,2025-03-06T13:06:40.993Z,2025-03-06T13:06:49.125Z,2025-03-06T13:06:43.407Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:06:45', stop='2025-03-06 13:06:48', size=4096>)])",2.934519
completed,2511,11,10028,"{""u"": 2070, ""y"": 1982, ""x"": 1974, ""t"": 1008, ""tdg"": 1008, ""s"": 980, ""sdg"": 980, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5001,ibm,dynamic_payload_gates,"{""0011"": 236, ""1010"": 260, ""1111"": 272, ""0111"": 268, ""0010"": 236, ""1110"": 233, ""0101"": 275, ""1001"": 295, ""1100"": 266, ""0001"": 211, ""0110"": 270, ""1000"": 252, ""0100"": 228, ""1011"": 279, ""0000"": 234, ""1101"": 281}",0.05712890625,cz4svzz1xvhg008e8kj0,ibm_sherbrooke,4.0,4.0,completed,0.05712890625,2025-03-06T13:07:12.023Z,2025-03-06T13:07:20.216Z,2025-03-06T13:07:14.448Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:07:16', stop='2025-03-06 13:07:19', size=4096>)])",3.249039
completed,2511,11,10030,"{""y"": 2034, ""u"": 2006, ""x"": 2004, ""s"": 1003, ""sdg"": 1003, ""t"": 977, ""tdg"": 977, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5002,ibm,dynamic_payload_gates,"{""0101"": 231, ""1000"": 309, ""0010"": 205, ""0100"": 262, ""1010"": 210, ""0111"": 319, ""0011"": 285, ""1110"": 190, ""1101"": 204, ""0000"": 317, ""1011"": 290, ""0110"": 233, ""1001"": 247, ""1100"": 309, ""0001"": 227, ""1111"": 258}",0.077392578125,cz4sw8139f40008se280,ibm_sherbrooke,4.0,4.0,completed,0.077392578125,2025-03-06T13:07:44.430Z,2025-03-06T13:07:52.949Z,2025-03-06T13:07:46.970Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:07:48', stop='2025-03-06 13:07:52', size=4096>)])",3.328263
completed,2511,11,10032,"{""y"": 2050, ""x"": 2034, ""u"": 1932, ""t"": 1006, ""tdg"": 1006, ""s"": 989, ""sdg"": 989, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5003,ibm,dynamic_payload_gates,"{""0100"": 244, ""1100"": 226, ""1111"": 272, ""1000"": 241, ""1101"": 316, ""1001"": 261, ""1110"": 242, ""1011"": 235, ""0111"": 260, ""1010"": 286, ""0000"": 232, ""0010"": 292, ""0001"": 240, ""0011"": 205, ""0110"": 274, ""0101"": 270}",0.056640625,cz4swg2h0kc00088xw00,ibm_sherbrooke,4.0,4.0,completed,0.056640625,2025-03-06T13:08:17.111Z,2025-03-06T13:08:25.513Z,2025-03-06T13:08:19.641Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:08:21', stop='2025-03-06 13:08:24', size=4096>)])",3.390339
completed,2513,11,10034,"{""y"": 2078, ""x"": 1966, ""u"": 1964, ""s"": 1015, ""sdg"": 1015, ""t"": 985, ""tdg"": 985, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5004,ibm,dynamic_payload_gates,"{""1111"": 268, ""0001"": 292, ""1100"": 258, ""1011"": 233, ""1110"": 236, ""0011"": 264, ""1000"": 231, ""1001"": 241, ""0010"": 304, ""0100"": 245, ""1101"": 259, ""0111"": 250, ""0000"": 300, ""0101"": 235, ""0110"": 257, ""1010"": 223}",0.0732421875,cz4swr310wx0008bgsn0,ibm_sherbrooke,4.0,4.0,completed,0.0732421875,2025-03-06T13:08:48.455Z,2025-03-06T13:08:57.115Z,2025-03-06T13:08:51.168Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:08:52', stop='2025-03-06 13:08:56', size=4096>)])",3.438356
completed,2513,11,10036,"{""u"": 2040, ""y"": 2022, ""x"": 2010, ""s"": 987, ""sdg"": 987, ""t"": 982, ""tdg"": 982, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5005,ibm,dynamic_payload_gates,"{""0101"": 204, ""0100"": 297, ""1110"": 252, ""1011"": 266, ""0011"": 260, ""0111"": 258, ""0000"": 278, ""1001"": 266, ""0010"": 284, ""0001"": 226, ""1100"": 195, ""1010"": 212, ""1111"": 317, ""1101"": 268, ""1000"": 235, ""0110"": 278}",0.06787109375,cz4sx0c39f40008se2c0,ibm_sherbrooke,4.0,4.0,completed,0.06787109375,2025-03-06T13:09:21.295Z,2025-03-06T13:10:12.749Z,2025-03-06T13:09:23.832Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-06 13:10:08', stop='2025-03-06 13:10:11', size=4096>)])",3.3808759999999998
