status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend
completed,13343,9,40025,"{""y"": 8096, ""x"": 7946, ""u"": 7880, ""s"": 4024, ""sdg"": 4024, ""t"": 4017, ""tdg"": 4017, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,20002,ibm,dynamic_payload_gates,"{""111"": 941, ""011"": 254, ""101"": 832, ""110"": 754, ""000"": 187, ""100"": 690, ""010"": 207, ""001"": 231}",0.045654296875,cz6rfnp10wx0008by2bg,ibm_brisbane
completed,13343,9,40027,"{""y"": 8094, ""u"": 8020, ""x"": 8004, ""s"": 3987, ""sdg"": 3987, ""t"": 3957, ""tdg"": 3957, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,20003,ibm,dynamic_payload_gates,"{""010"": 450, ""111"": 477, ""100"": 551, ""101"": 481, ""000"": 457, ""001"": 515, ""110"": 561, ""011"": 604}",0.111572265625,cz6rfyq10wx0008by2d0,ibm_brisbane
completed,13345,9,40029,"{""u"": 8102, ""y"": 8068, ""x"": 7894, ""s"": 3990, ""sdg"": 3990, ""t"": 3982, ""tdg"": 3982, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,20004,ibm,dynamic_payload_gates,"{""110"": 531, ""111"": 665, ""000"": 392, ""101"": 551, ""001"": 498, ""100"": 458, ""010"": 463, ""011"": 538}",0.095703125,cz6rg7g10wx0008by2e0,ibm_brisbane
completed,13345,9,40031,"{""x"": 8124, ""y"": 8108, ""u"": 7840, ""t"": 4054, ""tdg"": 4054, ""s"": 3915, ""sdg"": 3915, ""cx"": 9, ""h"": 8, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,20005,ibm,dynamic_payload_gates,"{""001"": 484, ""110"": 358, ""100"": 331, ""111"": 1124, ""101"": 1022, ""010"": 129, ""011"": 495, ""000"": 153}",0.037353515625,cz6rggakvm9g008gnceg,ibm_brisbane
completed,10011,11,40026,"{""u"": 8042, ""y"": 8032, ""x"": 7826, ""t"": 4043, ""tdg"": 4043, ""s"": 4007, ""sdg"": 4007, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20000,ibm,dynamic_payload_gates,"{""1011"": 106, ""1110"": 262, ""0101"": 450, ""1111"": 254, ""1101"": 467, ""1100"": 373, ""0110"": 282, ""0111"": 241, ""1010"": 162, ""0100"": 435, ""1001"": 180, ""0000"": 220, ""1000"": 232, ""0011"": 102, ""0010"": 173, ""0001"": 157}",0.0537109375,cz6rgrvh0kc00089b790,ibm_brisbane
completed,10011,11,40028,"{""u"": 8164, ""x"": 7908, ""y"": 7844, ""s"": 4066, ""sdg"": 4066, ""t"": 3977, ""tdg"": 3977, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20001,ibm,dynamic_payload_gates,"{""1110"": 222, ""0000"": 321, ""0010"": 294, ""0101"": 347, ""1010"": 176, ""1000"": 232, ""0111"": 305, ""0110"": 322, ""1111"": 255, ""0001"": 309, ""0011"": 252, ""1011"": 191, ""0100"": 308, ""1100"": 181, ""1001"": 194, ""1101"": 187}",0.078369140625,cz6rh1m10wx0008by2h0,ibm_brisbane
completed,10011,11,40030,"{""y"": 8144, ""x"": 8058, ""u"": 7962, ""t"": 4061, ""tdg"": 4061, ""s"": 3859, ""sdg"": 3859, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20002,ibm,dynamic_payload_gates,"{""0010"": 222, ""0101"": 152, ""0100"": 143, ""1111"": 345, ""1100"": 207, ""1101"": 218, ""1001"": 429, ""0111"": 240, ""1010"": 228, ""0001"": 284, ""1110"": 283, ""0110"": 178, ""0000"": 327, ""1011"": 316, ""1000"": 349, ""0011"": 175}",0.079833984375,cz6rhad10wx0008by2k0,ibm_brisbane
completed,10011,11,40032,"{""x"": 8066, ""u"": 7974, ""y"": 7970, ""s"": 4013, ""sdg"": 4013, ""t"": 3985, ""tdg"": 3985, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20003,ibm,dynamic_payload_gates,"{""1111"": 208, ""1110"": 230, ""1011"": 279, ""1101"": 392, ""1010"": 327, ""1001"": 139, ""0101"": 359, ""0010"": 285, ""1100"": 321, ""0011"": 279, ""1000"": 214, ""0110"": 244, ""0001"": 147, ""0000"": 195, ""0100"": 295, ""0111"": 182}",0.047607421875,cz6rhmy10wx0008by2ng,ibm_brisbane
completed,10013,11,40034,"{""x"": 8202, ""y"": 8028, ""u"": 7940, ""s"": 3995, ""sdg"": 3995, ""t"": 3924, ""tdg"": 3924, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20004,ibm,dynamic_payload_gates,"{""0111"": 406, ""1100"": 157, ""1010"": 299, ""0010"": 279, ""1110"": 370, ""0011"": 364, ""0001"": 228, ""1011"": 360, ""1111"": 382, ""0110"": 334, ""1000"": 177, ""0101"": 100, ""0100"": 154, ""0000"": 152, ""1101"": 112, ""1001"": 222}",0.037109375,cz6rhxq1xvhg008env3g,ibm_brisbane
completed,10013,11,40036,"{""y"": 8020, ""x"": 7998, ""u"": 7790, ""s"": 4078, ""sdg"": 4078, ""t"": 4023, ""tdg"": 4023, ""cx"": 11, ""h"": 10, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,20005,ibm,dynamic_payload_gates,"{""1011"": 242, ""1001"": 303, ""0011"": 348, ""1100"": 178, ""0100"": 214, ""0010"": 235, ""1110"": 209, ""1101"": 293, ""1000"": 201, ""0000"": 220, ""1111"": 242, ""0001"": 338, ""0111"": 328, ""0101"": 298, ""1010"": 205, ""0110"": 242}",0.0537109375,cz6rj7810wx0008by2p0,ibm_brisbane
