cohort,algorithm,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
teleportation_hardware,TELEPORTATION,singleton,inspect_all,792,792,275.8333333333333,516.1666666666667,0.0,1.0,0.34827441077441074,1.0
teleportation_hardware,TELEPORTATION,singleton,unique_mode,792,757,268.0,489.0,7.833333333333314,0.9558080808080808,0.35402906208718626,0.9716012084592146
teleportation_hardware,TELEPORTATION,singleton,contrast_0.2,792,241,155.0,86.0,120.83333333333331,0.3042929292929293,0.6431535269709544,0.5619335347432024
teleportation_hardware,TELEPORTATION,singleton,contrast_0.5,792,29,25.0,4.0,250.83333333333331,0.036616161616161616,0.8620689655172413,0.0906344410876133
teleportation_hardware,TELEPORTATION,singleton,contrast_0.8,792,9,9.0,0.0,266.8333333333333,0.011363636363636364,1.0,0.03262839879154079
teleportation_hardware,TELEPORTATION,singleton,rank_0.05,792,380,195.0,185.0,80.83333333333331,0.4797979797979798,0.5131578947368421,0.7069486404833837
teleportation_hardware,TELEPORTATION,singleton,rank_0.01,792,342,182.0,160.0,93.83333333333331,0.4318181818181818,0.5321637426900585,0.6598187311178249
teleportation_hardware,TELEPORTATION,singleton,contrast_0.2_and_rank_0.05,792,187,126.0,61.0,149.83333333333331,0.2361111111111111,0.6737967914438503,0.45679758308157103
teleportation_hardware,TELEPORTATION,singleton,gap_0.05,792,351,213.0,138.0,62.833333333333314,0.4431818181818182,0.6068376068376068,0.7722054380664654
teleportation_simulator,TELEPORTATION,singleton,inspect_all,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,unique_mode,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,contrast_0.2,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,contrast_0.5,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,contrast_0.8,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,rank_0.01,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,contrast_0.2_and_rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,TELEPORTATION,singleton,gap_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
