algorithm,config_id,backend_name,execution_type,shots,num_qubits,optimization_level,transpiled_depth,result_id,source_file,row_id,cohort,output_width,k,target_group,register_aligned,candidate_correct,candidate,stored_dsr,n1,n2,contrast,pair_mass,top_mass,gap,rank_p,unique,target_mass,wrong_max_count,target_mean_signed,target_dsr,target_sum_signed,target_min_signed,target_coverage,target_min_count,target_max_count,pass_inspect_all,pass_unique_mode,pass_contrast_0.2,pass_contrast_0.5,pass_contrast_0.8,pass_rank_0.05,pass_rank_0.01,pass_contrast_0.2_and_rank_0.05,pass_gap_0.05
GROVER,ASYM-2,ibm_fez,IBM_QPU,1024,3,3.0,103.0,ASYM-2_IBM-QPU_003,ASYM-2_IBM_ibm_fez_20260205_193832.json,13,primary,3,2,multiple,False,1.0,011,0.893333,507,416,0.09859154929577464,0.9013671875,0.4951171875,0.0888671875,0.0030320204250577245,True,0.9013671875,26,0.8933333333333333,0.8933333333333333,0.9452054794520548,0.8823529411764706,1.0,416,507,True,True,False,False,False,True,True,False,True
GROVER,ASYM-2,ibm_kingston,IBM_QPU,1024,3,3.0,107.0,ASYM-2_IBM-QPU_003,ASYM-2_IBM_ibm_kingston_20260331_140953.json,14,primary,3,2,multiple,False,1.0,000,0.839341,481,412,0.07726763717805152,0.8720703125,0.4697265625,0.0673828125,0.022820757898143477,True,0.8720703125,39,0.839340885684861,0.839340885684861,0.9163090128755365,0.8270509977827051,1.0,412,481,True,True,False,False,False,True,False,False,True
GROVER,ASYM-2,ibm_kingston,IBM_QPU,1024,3,3.0,107.0,ASYM-2_IBM-QPU_003,ASYM-2_IBM_ibm_kingston_20260331_141019.json,15,primary,3,2,multiple,False,1.0,000,0.836,471,447,0.026143790849673203,0.896484375,0.4599609375,0.0234375,0.44780242471006076,True,0.896484375,41,0.836,0.836,0.9144942648592284,0.8319672131147541,1.0,447,471,True,True,False,False,False,False,False,False,False
GROVER,ASYM-2,ibm_torino,IBM_QPU,1024,3,0.0,226.0,ASYM-2_IBM-QPU_000,ASYM-2_IBM_ibm_torino_20260127_133148.json,16,primary,3,2,multiple,False,1.0,000,0.640045,388,341,0.0644718792866941,0.7119140625,0.37890625,0.0458984375,0.08836717218452184,True,0.7119140625,80,0.6400449943757031,0.6400449943757031,0.8022249690976514,0.6199524940617577,1.0,341,388,True,True,False,False,False,False,False,False,False
GROVER,ASYM-2,ibm_torino,IBM_QPU,1024,3,1.0,132.0,ASYM-2_IBM-QPU_001,ASYM-2_IBM_ibm_torino_20260127_133148.json,17,primary,3,2,multiple,False,1.0,000,0.830688,456,409,0.05433526011560694,0.8447265625,0.4453125,0.0458984375,0.11775537945549978,True,0.8447265625,40,0.8306878306878307,0.8306878306878307,0.9116022099447514,0.821826280623608,1.0,409,456,True,True,False,False,False,False,False,False,False
GROVER,ASYM-2,ibm_torino,IBM_QPU,1024,3,2.0,102.0,ASYM-2_IBM-QPU_002,ASYM-2_IBM_ibm_torino_20260127_133148.json,18,primary,3,2,multiple,False,1.0,000,0.8826,470,428,0.0467706013363029,0.876953125,0.458984375,0.041015625,0.17121870974966696,True,0.876953125,28,0.8825995807127882,0.8825995807127882,0.9395248380129589,0.8771929824561403,1.0,428,470,True,True,False,False,False,False,False,False,False
GROVER,ASYM-2,ibm_torino,IBM_QPU,1024,3,3.0,102.0,ASYM-2_IBM-QPU_003,ASYM-2_IBM_ibm_torino_20260127_133148.json,19,primary,3,2,multiple,False,1.0,000,0.862069,457,434,0.025813692480359147,0.8701171875,0.4462890625,0.0224609375,0.4611247018644649,True,0.8701171875,33,0.8620689655172413,0.8620689655172413,0.9285714285714286,0.8586723768736617,1.0,434,457,True,True,False,False,False,False,False,False,False
GROVER,H3-0,ibm_fez,IBM_QPU,1024,3,3.0,140.0,H3-0_IBM-QPU_003,H3-0_IBM_ibm_fez_20260331_141135.json,20,primary,3,1,singleton,False,1.0,000,0.864865,759,55,0.8648648648648649,0.794921875,0.7412109375,0.6875,2.919142291616352e-159,True,0.7412109375,55,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.0,759,759,True,True,True,True,True,True,True,True,True
GROVER,H3-0,ibm_kingston,IBM_QPU,1024,3,3.0,141.0,H3-0_IBM-QPU_003,H3-0_IBM_ibm_kingston_20260331_141047.json,21,primary,3,1,singleton,False,1.0,000,0.925926,832,32,0.9259259259259259,0.84375,0.8125,0.78125,3.341706330906051e-202,True,0.8125,32,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,1.0,832,832,True,True,True,True,True,True,True,True,True
GROVER,H3-1,ibm_fez,IBM_QPU,1024,3,3.0,140.0,H3-1_IBM-QPU_003,H3-1_IBM_ibm_fez_20260331_141201.json,22,primary,3,1,singleton,False,1.0,001,0.839308,744,65,0.8393077873918418,0.7900390625,0.7265625,0.6630859375,5.756348435112688e-147,True,0.7265625,65,0.8393077873918418,0.8393077873918418,0.8393077873918418,0.8393077873918418,1.0,744,744,True,True,True,True,True,True,True,True,True
GROVER,H3-1,ibm_fez,IBM_QPU,1024,3,3.0,140.0,H3-1_IBM-QPU_003,H3-1_IBM_ibm_fez_20260331_141228.json,23,primary,3,1,singleton,False,1.0,001,0.854501,752,59,0.8545006165228114,0.7919921875,0.734375,0.6767578125,5.651692800918024e-154,True,0.734375,59,0.8545006165228114,0.8545006165228114,0.8545006165228114,0.8545006165228114,1.0,752,752,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_fez,IBM_QPU,1024,3,0.0,312.0,H3-2_IBM-QPU_000,H3-2_IBM_ibm_fez_20260205_194659.json,24,primary,3,1,singleton,False,1.0,011,0.262473,291,170,0.26247288503253796,0.4501953125,0.2841796875,0.1181640625,1.9064911966844858e-08,True,0.2841796875,170,0.26247288503253796,0.26247288503253796,0.26247288503253796,0.26247288503253796,1.0,291,291,True,True,True,False,False,True,True,True,True
GROVER,H3-2,ibm_fez,IBM_QPU,1024,3,1.0,161.0,H3-2_IBM-QPU_001,H3-2_IBM_ibm_fez_20260205_194659.json,25,primary,3,1,singleton,False,1.0,011,0.811944,713,74,0.8119440914866582,0.7685546875,0.6962890625,0.6240234375,4.799884960579604e-132,True,0.6962890625,74,0.8119440914866582,0.8119440914866582,0.8119440914866582,0.8119440914866582,1.0,713,713,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_fez,IBM_QPU,1024,3,2.0,140.0,H3-2_IBM-QPU_002,H3-2_IBM_ibm_fez_20260205_194659.json,26,primary,3,1,singleton,False,1.0,011,0.890084,791,46,0.8900836320191159,0.8173828125,0.7724609375,0.7275390625,3.331487371850978e-176,True,0.7724609375,46,0.8900836320191159,0.8900836320191159,0.8900836320191159,0.8900836320191159,1.0,791,791,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_fez,IBM_QPU,1024,3,3.0,144.0,H3-2_IBM-QPU_003,H3-2_IBM_ibm_fez_20260205_194659.json,27,primary,3,1,singleton,False,1.0,011,0.929625,850,31,0.9296254256526674,0.8603515625,0.830078125,0.7998046875,1.807230683368974e-208,True,0.830078125,31,0.9296254256526674,0.9296254256526674,0.9296254256526674,0.9296254256526674,1.0,850,850,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_fez,IBM_QPU,1024,3,3.0,144.0,H3-2_IBM-QPU_003,H3-2_IBM_ibm_fez_20260331_141346.json,28,primary,3,1,singleton,False,1.0,011,0.85396,749,59,0.8539603960396039,0.7890625,0.7314453125,0.673828125,3.604793398946695e-153,True,0.7314453125,59,0.8539603960396039,0.8539603960396039,0.8539603960396039,0.8539603960396039,1.0,749,749,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_torino,IBM_QPU,1024,3,0.0,312.0,H3-2_IBM-QPU_000,H3-2_IBM_ibm_torino_20260127_133605.json,29,primary,3,1,singleton,False,1.0,011,0.710145,590,100,0.7101449275362319,0.673828125,0.576171875,0.478515625,2.0340125666906118e-85,True,0.576171875,100,0.7101449275362319,0.7101449275362319,0.7101449275362319,0.7101449275362319,1.0,590,590,True,True,True,True,False,True,True,True,True
GROVER,H3-2,ibm_torino,IBM_QPU,1024,3,1.0,161.0,H3-2_IBM-QPU_001,H3-2_IBM_ibm_torino_20260127_133605.json,30,primary,3,1,singleton,False,1.0,011,0.857831,771,59,0.8578313253012049,0.810546875,0.7529296875,0.6953125,4.437200514074078e-159,True,0.7529296875,59,0.8578313253012049,0.8578313253012049,0.8578313253012049,0.8578313253012049,1.0,771,771,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_torino,IBM_QPU,1024,3,2.0,141.0,H3-2_IBM-QPU_002,H3-2_IBM_ibm_torino_20260127_133605.json,31,primary,3,1,singleton,False,1.0,011,0.881188,760,48,0.8811881188118812,0.7890625,0.7421875,0.6953125,8.716592566505577e-166,True,0.7421875,48,0.8811881188118812,0.8811881188118812,0.8811881188118812,0.8811881188118812,1.0,760,760,True,True,True,True,True,True,True,True,True
GROVER,H3-2,ibm_torino,IBM_QPU,1024,3,3.0,141.0,H3-2_IBM-QPU_003,H3-2_IBM_ibm_torino_20260127_133605.json,32,primary,3,1,singleton,False,1.0,011,0.882497,769,48,0.8824969400244798,0.7978515625,0.7509765625,0.7041015625,2.941716612503553e-168,True,0.7509765625,48,0.8824969400244798,0.8824969400244798,0.8824969400244798,0.8824969400244798,1.0,769,769,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,0.0,311.0,H3-3_IBM-QPU_000,H3-3_IBM_ibm_fez_20260205_194627.json,33,primary,3,1,singleton,False,1.0,111,0.084282,238,201,0.08428246013667426,0.4287109375,0.232421875,0.0361328125,0.08564647621489502,True,0.232421875,201,0.08428246013667426,0.08428246013667426,0.08428246013667426,0.08428246013667426,1.0,238,238,True,True,False,False,False,False,False,False,False
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,1.0,172.0,H3-3_IBM-QPU_001,H3-3_IBM_ibm_fez_20260205_194627.json,34,primary,3,1,singleton,False,1.0,111,0.890443,811,47,0.8904428904428905,0.837890625,0.7919921875,0.74609375,8.85226392181102e-181,True,0.7919921875,47,0.8904428904428905,0.8904428904428905,0.8904428904428905,0.8904428904428905,1.0,811,811,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,2.0,144.0,H3-3_IBM-QPU_002,H3-3_IBM_ibm_fez_20260205_194627.json,35,primary,3,1,singleton,False,1.0,111,0.91236,851,39,0.9123595505617977,0.869140625,0.8310546875,0.79296875,5.68021773163065e-200,True,0.8310546875,39,0.9123595505617977,0.9123595505617977,0.9123595505617977,0.9123595505617977,1.0,851,851,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,3.0,144.0,H3-3_IBM-QPU_003,H3-3_IBM_ibm_fez_20260205_194627.json,36,primary,3,1,singleton,False,1.0,111,0.911464,842,39,0.9114642451759364,0.8603515625,0.822265625,0.7841796875,1.9404499295125702e-197,True,0.822265625,39,0.9114642451759364,0.9114642451759364,0.9114642451759364,0.9114642451759364,1.0,842,842,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,3.0,144.0,H3-3_IBM-QPU_003,H3-3_IBM_ibm_fez_20260331_141411.json,37,primary,3,1,singleton,False,1.0,111,0.87,748,52,0.87,0.78125,0.73046875,0.6796875,6.705899205871646e-159,True,0.73046875,52,0.87,0.87,0.87,0.87,1.0,748,748,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_fez,IBM_QPU,1024,3,3.0,144.0,H3-3_IBM-QPU_003,H3-3_IBM_ibm_fez_20260331_141438.json,38,primary,3,1,singleton,False,1.0,111,0.868649,754,53,0.8686493184634448,0.7880859375,0.736328125,0.6845703125,1.1927446126639523e-159,True,0.736328125,53,0.8686493184634448,0.8686493184634448,0.8686493184634448,0.8686493184634448,1.0,754,754,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_torino,IBM_QPU,1024,3,0.0,302.0,H3-3_IBM-QPU_000,H3-3_IBM_ibm_torino_20260127_133534.json,39,primary,3,1,singleton,False,1.0,111,0.739508,601,90,0.7395079594790159,0.6748046875,0.5869140625,0.4990234375,1.2796384485085239e-93,True,0.5869140625,90,0.7395079594790159,0.7395079594790159,0.7395079594790159,0.7395079594790159,1.0,601,601,True,True,True,True,False,True,True,True,True
GROVER,H3-3,ibm_torino,IBM_QPU,1024,3,1.0,162.0,H3-3_IBM-QPU_001,H3-3_IBM_ibm_torino_20260127_133534.json,40,primary,3,1,singleton,False,1.0,111,0.832021,698,64,0.8320209973753281,0.744140625,0.681640625,0.619140625,1.3097450770429215e-135,True,0.681640625,64,0.8320209973753281,0.8320209973753281,0.8320209973753281,0.8320209973753281,1.0,698,698,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_torino,IBM_QPU,1024,3,2.0,138.0,H3-3_IBM-QPU_002,H3-3_IBM_ibm_torino_20260127_133534.json,41,primary,3,1,singleton,False,1.0,111,0.85258,754,60,0.8525798525798526,0.794921875,0.736328125,0.677734375,1.1157521922596519e-153,True,0.736328125,60,0.8525798525798526,0.8525798525798526,0.8525798525798526,0.8525798525798526,1.0,754,754,True,True,True,True,True,True,True,True,True
GROVER,H3-3,ibm_torino,IBM_QPU,1024,3,3.0,142.0,H3-3_IBM-QPU_003,H3-3_IBM_ibm_torino_20260127_133534.json,42,primary,3,1,singleton,False,1.0,111,0.847909,729,60,0.8479087452471483,0.7705078125,0.7119140625,0.6533203125,5.373578119170044e-147,True,0.7119140625,60,0.8479087452471483,0.8479087452471483,0.8479087452471483,0.8479087452471483,1.0,729,729,True,True,True,True,True,True,True,True,True
GROVER,H4-0,ibm_fez,IBM_QPU,1024,4,0.0,881.0,H4-0_IBM-QPU_000,H4-0_IBM_ibm_fez_20260127_111225.json,43,primary,4,1,singleton,False,1.0,0000,0.194313,126,85,0.1943127962085308,0.2060546875,0.123046875,0.0400390625,0.005763098755847958,True,0.123046875,85,0.1943127962085308,0.1943127962085308,0.1943127962085308,0.1943127962085308,1.0,126,126,True,True,False,False,False,True,True,False,False
GROVER,H4-0,ibm_fez,IBM_QPU,1024,4,2.0,436.0,H4-0_IBM-QPU_002,H4-0_IBM_ibm_fez_20260127_111225.json,44,primary,4,1,singleton,False,1.0,0000,0.761821,503,68,0.7618213660245184,0.5576171875,0.4912109375,0.4248046875,5.336246510481063e-83,True,0.4912109375,68,0.7618213660245184,0.7618213660245184,0.7618213660245184,0.7618213660245184,1.0,503,503,True,True,True,True,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,0.0,930.0,H4-4_IBM-QPU_000,H4-4_IBM_ibm_torino_20260127_133955.json,45,primary,4,1,singleton,False,1.0,1111,0.350427,158,76,0.3504273504273504,0.228515625,0.154296875,0.080078125,8.869833848799515e-08,True,0.154296875,76,0.3504273504273504,0.3504273504273504,0.3504273504273504,0.3504273504273504,1.0,158,158,True,True,True,False,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,1.0,587.0,H4-4_IBM-QPU_001,H4-4_IBM_ibm_torino_20260127_133955.json,46,primary,4,1,singleton,False,1.0,1111,0.664198,337,68,0.6641975308641975,0.3955078125,0.3291015625,0.2626953125,6.344178719690838e-44,True,0.3291015625,68,0.6641975308641975,0.6641975308641975,0.6641975308641975,0.6641975308641975,1.0,337,337,True,True,True,True,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,2.0,427.0,H4-4_IBM-QPU_002,H4-4_IBM_ibm_torino_20260127_133955.json,47,primary,4,1,singleton,False,1.0,1111,0.737634,404,61,0.7376344086021506,0.4541015625,0.39453125,0.3349609375,4.105173041040214e-63,True,0.39453125,61,0.7376344086021506,0.7376344086021506,0.7376344086021506,0.7376344086021506,1.0,404,404,True,True,True,True,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,3.0,430.0,H4-4_IBM-QPU_003,H4-4_IBM_ibm_torino_20260127_133955.json,48,primary,4,1,singleton,False,1.0,1111,0.724289,394,63,0.7242888402625821,0.4462890625,0.384765625,0.3232421875,1.3680333178645156e-59,True,0.384765625,63,0.7242888402625821,0.7242888402625821,0.7242888402625821,0.7242888402625821,1.0,394,394,True,True,True,True,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,0.0,922.0,H4-4_IBM-QPU_000,H4-4_IBM_ibm_torino_20260205_200001.json,49,primary,4,1,singleton,False,1.0,1111,0.201681,143,95,0.20168067226890757,0.232421875,0.1396484375,0.046875,0.002246734507600873,True,0.1396484375,95,0.20168067226890757,0.20168067226890757,0.20168067226890757,0.20168067226890757,1.0,143,143,True,True,True,False,False,True,True,True,False
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,1.0,597.0,H4-4_IBM-QPU_001,H4-4_IBM_ibm_torino_20260205_200001.json,50,primary,4,1,singleton,False,1.0,1111,0.784615,464,56,0.7846153846153846,0.5078125,0.453125,0.3984375,5.379857094040735e-81,True,0.453125,56,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,1.0,464,464,True,True,True,True,False,True,True,True,True
GROVER,H4-4,ibm_torino,IBM_QPU,1024,4,2.0,423.0,H4-4_IBM-QPU_002,H4-4_IBM_ibm_torino_20260205_200001.json,51,primary,4,1,singleton,False,1.0,1111,0.777778,456,57,0.7777777777777778,0.5009765625,0.4453125,0.3896484375,2.486591589578282e-78,True,0.4453125,57,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,456,456,True,True,True,True,False,True,True,True,True
