row_id,algorithm,config_id,backend_name,target_group,budget,candidate_correct,holdout_unique_leader,holdout_candidate_mass,contrast,gap,rank_p,pass_inspect_all,pass_unique_mode,pass_contrast_0.2,pass_contrast_0.5,pass_contrast_0.8,pass_rank_0.05,pass_rank_0.01,pass_contrast_0.2_and_rank_0.05,pass_gap_0.05
0,GROVER,ASYM-1,ibm_fez,multiple,64,1.0,0.9666666666666667,0.3068402777777778,0.2720704994398847,0.1390625,0.26699243220888697,1.0,1.0,0.6666666666666666,0.06666666666666667,0.0,0.2,0.1,0.2,0.9333333333333333
0,GROVER,ASYM-1,ibm_fez,multiple,128,1.0,1.0,0.310639880952381,0.30929032358520075,0.15390625,0.09016341891903018,1.0,1.0,0.8,0.1,0.0,0.7,0.43333333333333335,0.7,0.9333333333333333
0,GROVER,ASYM-1,ibm_fez,multiple,256,1.0,1.0,0.3124565972222222,0.2855194796008823,0.138671875,0.018455018563688398,1.0,1.0,0.8666666666666667,0.0,0.0,0.8666666666666667,0.7333333333333333,0.8666666666666667,1.0
0,GROVER,ASYM-1,ibm_fez,multiple,512,1.0,1.0,0.3146484375,0.2920330884866333,0.14029947916666666,5.9899523613917636e-05,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1,GROVER,ASYM-1,ibm_fez,multiple,64,1.0,0.7333333333333333,0.46760416666666665,0.12682084752438005,0.1125,0.5035755050282638,1.0,0.9333333333333333,0.26666666666666666,0.0,0.0,0.1,0.0,0.1,0.7
1,GROVER,ASYM-1,ibm_fez,multiple,128,1.0,0.8666666666666667,0.47957589285714286,0.10129268946526546,0.09114583333333333,0.4284903858873659,1.0,1.0,0.1,0.0,0.0,0.13333333333333333,0.03333333333333333,0.1,0.6333333333333333
1,GROVER,ASYM-1,ibm_fez,multiple,256,1.0,1.0,0.49322916666666666,0.09417132691114231,0.08502604166666666,0.2756544145051009,1.0,1.0,0.0,0.0,0.0,0.23333333333333334,0.06666666666666667,0.0,0.8333333333333334
1,GROVER,ASYM-1,ibm_fez,multiple,512,1.0,1.0,0.4952473958333333,0.09355699535616455,0.0841796875,0.11475629250444964,1.0,1.0,0.0,0.0,0.0,0.43333333333333335,0.2,0.0,0.8333333333333334
2,GROVER,ASYM-1,ibm_fez,multiple,64,1.0,0.6,0.47100694444444446,0.11158047395110623,0.1015625,0.5892282716056005,1.0,0.9,0.13333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6333333333333333
2,GROVER,ASYM-1,ibm_fez,multiple,128,1.0,0.9333333333333333,0.5095610119047619,0.1400956578700236,0.12994791666666666,0.2614743403269736,1.0,0.9333333333333333,0.23333333333333334,0.0,0.0,0.3,0.13333333333333333,0.23333333333333334,0.8666666666666667
2,GROVER,ASYM-1,ibm_fez,multiple,256,1.0,1.0,0.5191840277777778,0.12802797337069607,0.11796875,0.16183227116624962,1.0,1.0,0.13333333333333333,0.0,0.0,0.5,0.23333333333333334,0.13333333333333333,0.8666666666666667
2,GROVER,ASYM-1,ibm_fez,multiple,512,1.0,1.0,0.5213541666666667,0.12045879528528138,0.111328125,0.026613369849175852,1.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.5333333333333333,0.0,1.0
3,GROVER,ASYM-1,ibm_fez,multiple,64,1.0,0.6333333333333333,0.4621875,0.1053405286651861,0.09739583333333333,0.5522680937104208,1.0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
3,GROVER,ASYM-1,ibm_fez,multiple,128,1.0,0.8333333333333334,0.47537202380952376,0.08939999228006273,0.08203125,0.4529689964160099,1.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.6666666666666666
3,GROVER,ASYM-1,ibm_fez,multiple,256,1.0,0.8666666666666667,0.4782986111111111,0.06738206823949074,0.06145833333333333,0.43877894116466165,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.0,0.5333333333333333
3,GROVER,ASYM-1,ibm_fez,multiple,512,1.0,0.9666666666666667,0.48606770833333335,0.06624378669994818,0.06067708333333333,0.26824763333705165,1.0,1.0,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333,0.0,0.6666666666666666
4,GROVER,ASYM-1,ibm_kingston,multiple,64,1.0,0.5333333333333333,0.4488541666666667,0.11659783595405583,0.1046875,0.5214965837947866,1.0,0.9666666666666667,0.16666666666666666,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.7666666666666667
4,GROVER,ASYM-1,ibm_kingston,multiple,128,1.0,0.8333333333333334,0.4583705357142857,0.07319625837302433,0.06614583333333333,0.5416376592589457,1.0,0.9333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.6333333333333333
4,GROVER,ASYM-1,ibm_kingston,multiple,256,1.0,0.7333333333333333,0.45546875,0.05866287852696184,0.05260416666666667,0.5098059400140167,1.0,0.9666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.4
4,GROVER,ASYM-1,ibm_kingston,multiple,512,1.0,0.7,0.4552083333333333,0.03726889862226743,0.03365885416666667,0.5183215553336661,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
5,GROVER,ASYM-1,ibm_kingston,multiple,64,1.0,0.7666666666666667,0.44937499999999997,0.12341052472722672,0.10885416666666667,0.5059273733309255,1.0,0.9333333333333333,0.23333333333333334,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.7333333333333333
5,GROVER,ASYM-1,ibm_kingston,multiple,128,1.0,0.7666666666666667,0.4495907738095238,0.07434785264215578,0.06536458333333334,0.5486607512506164,1.0,0.9333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.5666666666666667
5,GROVER,ASYM-1,ibm_kingston,multiple,256,1.0,0.6333333333333333,0.43971354166666665,0.0603145565740375,0.053125,0.5198575635415192,1.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.0,0.43333333333333335
5,GROVER,ASYM-1,ibm_kingston,multiple,512,1.0,0.9666666666666667,0.4602864583333333,0.04347328314633075,0.038346354166666666,0.44274024744091917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
6,GROVER,ASYM-1,ibm_torino,multiple,64,1.0,0.6,0.3867013888888889,0.12821423958132366,0.0953125,0.5272337895660967,1.0,0.9333333333333333,0.23333333333333334,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.7
6,GROVER,ASYM-1,ibm_torino,multiple,128,1.0,0.7333333333333333,0.39162946428571427,0.07483212890818168,0.0578125,0.566319476510519,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333
6,GROVER,ASYM-1,ibm_torino,multiple,256,1.0,0.8666666666666667,0.3973524305555555,0.06068565764666187,0.046875,0.5274658826124379,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.36666666666666664
