cohort,shots,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
teleportation_hardware,3979,singleton,gap_0.05,1,0,0.0,0.0,0.0,0.0,,
teleportation_hardware,4096,singleton,inspect_all,675,675,221.0,454.0,0.0,1.0,0.3274074074074074,1.0
teleportation_hardware,4096,singleton,unique_mode,675,671,221.0,450.0,0.0,0.9940740740740741,0.3293591654247392,1.0
teleportation_hardware,4096,singleton,contrast_0.2,675,178,117.0,61.0,104.0,0.2637037037037037,0.6573033707865169,0.5294117647058824
teleportation_hardware,4096,singleton,contrast_0.5,675,7,7.0,0.0,214.0,0.01037037037037037,1.0,0.03167420814479638
teleportation_hardware,4096,singleton,contrast_0.8,675,0,0.0,0.0,221.0,0.0,,0.0
teleportation_hardware,4096,singleton,rank_0.05,675,371,186.0,185.0,35.0,0.5496296296296296,0.5013477088948787,0.8416289592760181
teleportation_hardware,4096,singleton,rank_0.01,675,339,179.0,160.0,42.0,0.5022222222222222,0.528023598820059,0.8099547511312217
teleportation_hardware,4096,singleton,contrast_0.2_and_rank_0.05,675,178,117.0,61.0,104.0,0.2637037037037037,0.6573033707865169,0.5294117647058824
teleportation_hardware,4096,singleton,gap_0.05,675,266,166.0,100.0,55.0,0.3940740740740741,0.6240601503759399,0.751131221719457
teleportation_simulator,1024,singleton,inspect_all,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,unique_mode,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,contrast_0.2,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,contrast_0.5,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,contrast_0.8,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,rank_0.01,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,contrast_0.2_and_rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,1024,singleton,gap_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
