cohort,backend_name,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
teleportation_hardware,ibm_brisbane,singleton,rank_0.05,86,40,18.0,22.0,5.0,0.46511627906976744,0.45,0.782608695652174
teleportation_hardware,ibm_brisbane,singleton,rank_0.01,86,30,15.0,15.0,8.0,0.3488372093023256,0.5,0.6521739130434783
teleportation_hardware,ibm_brisbane,singleton,contrast_0.2_and_rank_0.05,86,7,7.0,0.0,16.0,0.08139534883720931,1.0,0.30434782608695654
teleportation_hardware,ibm_brisbane,singleton,gap_0.05,86,20,14.0,6.0,9.0,0.23255813953488372,0.7,0.6086956521739131
teleportation_hardware,ibm_kyiv,singleton,inspect_all,92,92,20.0,72.0,0.0,1.0,0.21739130434782608,1.0
teleportation_hardware,ibm_kyiv,singleton,unique_mode,92,91,20.0,71.0,0.0,0.9891304347826086,0.21978021978021978,1.0
teleportation_hardware,ibm_kyiv,singleton,contrast_0.2,92,3,3.0,0.0,17.0,0.03260869565217391,1.0,0.15
teleportation_hardware,ibm_kyiv,singleton,contrast_0.5,92,0,0.0,0.0,20.0,0.0,,0.0
teleportation_hardware,ibm_kyiv,singleton,contrast_0.8,92,0,0.0,0.0,20.0,0.0,,0.0
teleportation_hardware,ibm_kyiv,singleton,rank_0.05,92,22,10.0,12.0,10.0,0.2391304347826087,0.45454545454545453,0.5
teleportation_hardware,ibm_kyiv,singleton,rank_0.01,92,16,8.0,8.0,12.0,0.17391304347826086,0.5,0.4
teleportation_hardware,ibm_kyiv,singleton,contrast_0.2_and_rank_0.05,92,3,3.0,0.0,17.0,0.03260869565217391,1.0,0.15
teleportation_hardware,ibm_kyiv,singleton,gap_0.05,92,12,5.0,7.0,15.0,0.13043478260869565,0.4166666666666667,0.25
teleportation_hardware,ibm_sherbrooke,singleton,inspect_all,498,498,178.0,320.0,0.0,1.0,0.357429718875502,1.0
teleportation_hardware,ibm_sherbrooke,singleton,unique_mode,498,495,178.0,317.0,0.0,0.9939759036144579,0.3595959595959596,1.0
teleportation_hardware,ibm_sherbrooke,singleton,contrast_0.2,498,168,107.0,61.0,71.0,0.3373493975903614,0.6369047619047619,0.601123595505618
teleportation_hardware,ibm_sherbrooke,singleton,contrast_0.5,498,6,6.0,0.0,172.0,0.012048192771084338,1.0,0.033707865168539325
teleportation_hardware,ibm_sherbrooke,singleton,contrast_0.8,498,0,0.0,0.0,178.0,0.0,,0.0
teleportation_hardware,ibm_sherbrooke,singleton,rank_0.05,498,309,158.0,151.0,20.0,0.6204819277108434,0.511326860841424,0.8876404494382022
teleportation_hardware,ibm_sherbrooke,singleton,rank_0.01,498,293,156.0,137.0,22.0,0.5883534136546185,0.5324232081911263,0.8764044943820225
teleportation_hardware,ibm_sherbrooke,singleton,contrast_0.2_and_rank_0.05,498,168,107.0,61.0,71.0,0.3373493975903614,0.6369047619047619,0.601123595505618
teleportation_hardware,ibm_sherbrooke,singleton,gap_0.05,498,234,147.0,87.0,31.0,0.46987951807228917,0.6282051282051282,0.8258426966292135
teleportation_hardware,rigetti_ankaa_3,singleton,inspect_all,44,44,25.833333333333332,18.166666666666668,0.0,1.0,0.587121212121212,1.0
teleportation_hardware,rigetti_ankaa_3,singleton,unique_mode,44,34,22.0,12.0,3.833333333333332,0.7727272727272727,0.6470588235294118,0.8516129032258065
teleportation_hardware,rigetti_ankaa_3,singleton,contrast_0.2,44,22,16.0,6.0,9.833333333333332,0.5,0.7272727272727273,0.6193548387096774
teleportation_hardware,rigetti_ankaa_3,singleton,contrast_0.5,44,5,5.0,0.0,20.833333333333332,0.11363636363636363,1.0,0.19354838709677422
teleportation_hardware,rigetti_ankaa_3,singleton,contrast_0.8,44,2,2.0,0.0,23.833333333333332,0.045454545454545456,1.0,0.07741935483870968
teleportation_hardware,rigetti_ankaa_3,singleton,rank_0.05,44,2,2.0,0.0,23.833333333333332,0.045454545454545456,1.0,0.07741935483870968
teleportation_hardware,rigetti_ankaa_3,singleton,rank_0.01,44,0,0.0,0.0,25.833333333333332,0.0,,0.0
